nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,soil_type,season,region,crop_name,yield_per_acre,quality_grade,demand_index,transport_cost,price_per_kg,recommended_crop
67,55,44,22.5,78.0,7.4,187.0,sandy,rabi,andhra_pradesh,wheat,4020,A,8.1,14.0,33.2,wheat
75,36,40,26.5,65.0,7.3,252.0,loamy,kharif,gujarat,cotton,2220,B,7.5,18.5,63.2,cotton
87,49,38,20.6,83.0,6.9,209.0,clay,kharif,tamil_nadu,rice,4620,A,8.7,12.1,29.8,rice
61,57,48,23.2,76.0,7.1,181.0,sandy,rabi,karnataka,wheat,3920,A,8.2,15.0,30.8,wheat
79,42,39,27.0,64.0,7.5,246.0,loamy,kharif,maharashtra,cotton,2320,B,7.8,17.0,65.8,cotton
83,44,41,21.0,80.0,6.6,216.0,clay,kharif,tamil_nadu,rice,4580,A,8.8,12.4,29.0,rice
65,50,43,24.0,74.0,7.0,189.0,sandy,rabi,andhra_pradesh,wheat,4080,A,8.3,13.8,34.5,wheat
71,37,42,25.8,68.0,7.2,238.0,loamy,kharif,gujarat,cotton,2260,B,7.4,18.8,62.0,cotton
85,48,37,20.2,84.0,6.8,204.0,clay,kharif,tamil_nadu,rice,4660,A,8.9,11.9,30.2,rice
60,58,49,22.8,77.0,7.3,186.0,sandy,rabi,karnataka,wheat,3960,A,8.0,14.6,32.2,wheat
76,39,40,26.2,66.0,7.1,244.0,loamy,kharif,maharashtra,cotton,2300,B,7.6,17.8,64.8,cotton
80,46,42,21.3,81.0,6.7,213.0,clay,kharif,tamil_nadu,rice,4540,A,8.5,12.7,28.2,rice
69,52,45,23.5,75.0,7.2,191.0,sandy,rabi,andhra_pradesh,wheat,4040,A,8.1,14.3,33.8,wheat
74,38,41,27.5,61.0,7.4,249.0,loamy,kharif,gujarat,cotton,2240,B,7.7,18.3,63.8,cotton
88,45,38,20.4,82.0,6.9,206.0,clay,kharif,tamil_nadu,rice,4640,A,8.6,12.2,29.6,rice
62,54,47,24.2,73.0,7.0,184.0,sandy,rabi,karnataka,wheat,3940,A,7.8,15.0,31.2,wheat
78,41,39,25.5,69.0,7.3,241.0,loamy,kharif,maharashtra,cotton,2340,B,7.9,17.5,65.2,cotton

